Os01g0100100	AK242339
Os01g0743600	AK103798
Os01g0743666	CT828520
Os01g0743732	AK062794
Os01g0743800	CT836592
Os01g0744000	AK101026
Os01g0744000	AK058804
Os01g0744101	X02683
Os01g0744200	AK059241
Os01g0744300	AK102819
Os01g0744350	BT084747
Os01g0744400	AK067648
Os01g0744550	tplb0051m06
Os01g0744700	AK374519
Os01g0745000	EU954525
Os01g0745300	CT837743
Os01g0745400	AK107872
Os01g0745700	AK121896
Os01g0745700	AK062377
Os01g0745850	FP100733
Os01g0746000	BT062669
Os01g0746200	AK072636
Os01g0746200	AK066787
Os01g0746400	ab
Os01g0746700	CT834944
Os01g0747300	AK066261
Os01g0747400	AK102467
Os01g0747451	EU948906
Os01g0747500	AK122010
Os01g0747600	AK122148
Os01g0747700	AK101311
Os01g0747750	CT828452
Os01g0747800	AK073166
Os01g0748000	tplb0012n18
Os01g0748100	AK071261
Os01g0748150	AK242185
Os01g0748200	AK372402
Os01g0748300	EU973290
Os01g0748500	AK241862
Os01g0748600	AK071920
Os01g0748600	AK104674
Os01g0748800	AB361063
Os01g0748900	AK072413
Os01g0748900	AK071946
Os01g0748950	AK242252
Os01g0749000	AK107290
Os01g0749000	AK107255
Os01g0749100	AK241895
Os01g0749200	AK072760
Os01g0749300	AK109856
Os01g0749400	AK067731
Os01g0749900	AK103588
Os01g0749950	EU949846
Os01g0750000	AK066450
Os01g0750000	AK060095
Os01g0750050	EU948966
Os01g0750100	AK060018
Os01g0750100	AK099515
Os01g0750100	AK067329
Os01g0750300	AK100475
Os01g0750300	AK100374
Os01g0750300	AK105078
Os01g0750400	ab
Os01g0750500	AK067516
Os01g0750600	AK102832
Os01g0750666	tplb0031a15
Os01g0750800	AK119318
Os01g0750900	AK111087
Os01g0751300	AK068036
Os01g0751400	BT067825
Os01g0751600	AK108569
Os01g0752100	AK063352
Os01g0752200	AK069590
Os01g0752300	AK121755
Os01g0752350	BT016634
Os01g0752400	CU405812
Os01g0752500	CT841997
Os01g0752600	AK100905
Os01g0752700	AK068544
Os01g0752800	AK103612
Os01g0752800	AK105380
Os01g0753000	AK241765
Os01g0753100	AK067136
Os01g0753100	AK061904
Os01g0753150	ab
Os01g0753175	EU950761
Os01g0753200	AK099571
Os01g0753300	EU960220
Os01g0753400	AK110690
Os01g0753500	AK072330
Os01g0753800	AK121555
Os01g0754000	AK063730
Os01g0754100	AK067551
Os01g0754100	AK058239
Os01g0754200	AK099782
Os01g0754200	AK120402
Os01g0754200	AK120195
Os01g0754200	AK099834
Os01g0754300	AK108081
Os01g0754500	AK073811
Os01g0754500	AK060895
Os01g0754700	AK288538
Os01g0754800	AK108976
Os01g0755100	AK067515
Os01g0755100	AK066203
Os01g0755500	AK058570
Os01g0755550	BT085212
Os01g0755600	AK241384
Os01g0755700	AK108853
Os01g0756000	ab
Os01g0756101	BT035939
Os01g0756200	AK108553
Os01g0756300	AK069648
Os01g0756400	AK105125
Os01g0756501	BT086928
Os01g0756600	AK060989
Os01g0756700	AK100739
Os01g0756900	AK058427
Os01g0757051	CU861721
Os01g0757200	AK101713
Os01g0757301	BT038748
Os01g0757400	AK102585
Os01g0757400	AK105474
Os01g0757500	AK121744
Os01g0757500	AK058268
Os01g0757600	ab
Os01g0757700	AK102734
Os01g0757800	AK101271
Os01g0757800	AK067990
Os01g0757800	AK099226
Os01g0757900	AK105476
Os01g0758000	ab
Os01g0758200	AK071083
Os01g0758300	AK101274
Os01g0758300	AK070480
Os01g0758350	tplb0046d07
Os01g0758400	AK071777
Os01g0758400	AK059301
Os01g0758450	tplb0040n22
Os01g0758500	AK107089
Os01g0758500	AK062409
Os01g0758900	AK067793
Os01g0758950	tplb0057j18
Os01g0759000	AK111031
Os01g0759100	AK106853
Os01g0759200	AK100202
Os01g0759400	AK101442
Os01g0759550	tplb0042a18
Os01g0759700	AK101627
Os01g0759700	AK072034
Os01g0759800	tplb0035n15
Os01g0759900	AK103020
Os01g0760000	AK120226
Os01g0760150	EU943375
Os01g0760300	AK070142
Os01g0760400	AK101847
Os01g0760600	AK103586
Os01g0760600	AK067557
Os01g0760600	AK099338
Os01g0760600	AK103133
Os01g0760701	BT016854
Os01g0760800	AB101652
Os01g0760900	AK107573
Os01g0761000	AK241680
Os01g0761100	AK122112
Os01g0761300	AK071943
Os01g0761300	AK109619
Os01g0761400	AK105550
Os01g0761500	AK069522
Os01g0761600	tplb0061c10
Os01g0761701	AK242002
Os01g0761800	AF193433
Os01g0761900	ab
Os01g0762000	AK120818
Os01g0762000	AK120009
Os01g0762300	AK287847
Os01g0762400	EU967553
Os01g0762500	X05662
Os01g0762601	EU948034
Os01g0762900	AK242065
Os01g0763000	AK099449
Os01g0763100	tplb0015g15
Os01g0763200	AK071964
Os01g0763300	AK063778
Os01g0763600	AK066596
Os01g0763600	AK061563
Os01g0763700	AK063070
Os01g0763750	AK102787
Os01g0763750	AK105652
Os01g0763800	AK069980
Os01g0763850	BT085554
Os01g0763900	AK108127
Os01g0764000	AK059818
Os01g0764000	AK060216
Os01g0764000	AK058894
Os01g0764050	BT009482
Os01g0764150	AK242762
Os01g0764200	AB332051
Os01g0764300	AK242769
Os01g0764400	AK068983
Os01g0764500	AK120433
Os01g0764600	AK068053
Os01g0764600	AK060621
Os01g0764700	AK071863
Os01g0764750	tplb0061l01
Os01g0764800	AK102809
Os01g0764850	tplb0043i20
Os01g0764900	AK066328
Os01g0764950	AK105497
Os01g0765000	AK101905
Os01g0765000	AK106122
Os01g0765200	AK106232
Os01g0765300	AK101759
Os01g0765400	AK106246
Os01g0765500	AK063269
Os01g0765600	AK108944
Os01g0765900	Q5JN07
Os01g0766000	BT055881
Os01g0766101	tplb0060k11
Os01g0766200	AK069471
Os01g0766200	AK070278
Os01g0766300	AK370485
Os01g0766400	AK073493
Os01g0766600	AK103570
Os01g0766600	AK061986
Os01g0766900	AK110759
Os01g0766966	BT066271
Os01g0767000	AK242478
Os01g0767100	AK109493
Os01g0767600	AK070672
Os01g0767700	AK122168
Os01g0767700	AK121269
Os01g0767700	AK068819
Os01g0767900	AK067198
Os01g0767966	tplb0036n13
Os01g0768100	AK119989
Os01g0768200	AK103291
Os01g0768300	EU974224
Os01g0768333	ab
Os01g0768600	AK120202
Os01g0768700	AK119498
Os01g0769000	AK100439
Os01g0769000	AK065855
Os01g0769100	AK242413
Os01g0769200	AK070376
Os01g0769366	tplb0025h23
Os01g0769700	AK101775
Os01g0769700	AK105465
Os01g0769900	AK065563
Os01g0770000	AK120549
Os01g0770100	ab
Os01g0770200	AK065830
Os01g0770400	AK061585
Os01g0770400	AK061253
Os01g0770500	AK099603
Os01g0770500	AK071653
Os01g0770700	GQ387494
Os01g0770800	AK109200
Os01g0771000	AK069298
Os01g0771100	AK106478
Os01g0771200	AK106172
Os01g0771300	AK062308
Os01g0771350	AK242694
Os01g0771400	AK370602
Os01g0771900	AK066300
Os01g0771950	tplb0060e05
Os01g0772000	AK069455
Os01g0772100	AK242468
Os01g0772150	AK355371
Os01g0772200	AK060471
Os01g0772200	AK103491
Os01g0772400	AK376758
Os01g0772500	AK109736
Os01g0772600	AK069612
Os01g0772600	AK120893
Os01g0772600	AK104917
Os01g0772650	BT084747
Os01g0772700	ab
Os01g0772800	AK120871
Os01g0772900	AK073362
Os01g0772900	AK104962
Os01g0773000	AK242635
Os01g0773100	AK100668
Os01g0773100	AK102008
Os01g0773200	AK069524
Os01g0773200	AK120199
Os01g0773350	AK240678
Os01g0773400	ab
Os01g0773500	AK062417
Os01g0773600	AK067004
Os01g0773700	AK060438
Os01g0773800	EU948863
Os01g0774001	FP099404
Os01g0774100	ab
Os01g0774200	AK120412
Os01g0774400	CT834931
Os01g0774500	AK069241
Os01g0775100	AK101217
Os01g0775150	BT018258
Os01g0775200	AK120210
Os01g0775200	AK102916
Os01g0775200	AK102215
Os01g0775300	AK102133
Os01g0775350	tplb0049h11
Os01g0775400	AK101022
Os01g0775500	AK100936
Os01g0775600	AK122081
Os01g0775600	AK060390
Os01g0775750	tplb0040m06
Os01g0776300	AK287478
Os01g0776400	AK243586
Os01g0776500	AK068921
Os01g0776600	AK071643
Os01g0776600	AK059025
Os01g0776600	AK060314
Os01g0776700	AK243625
Os01g0776800	AK101996
Os01g0776800	AK070639
Os01g0777000	ab
Os01g0777101	CT834969
Os01g0777200	AK287876
Os01g0777300	AB179769
Os01g0777400	AK066370
Os01g0777450	AK289196
Os01g0777500	EU957839
Os01g0777600	AK066370
Os01g0777650	AK289196
Os01g0777700	AK354919
Os01g0777800	AK241720
Os01g0777900	AK107899
Os01g0778100	AK241481
Os01g0778400	EU974658
Os01g0778500	AK240963
Os01g0778700	AK064933
Os01g0778800	AK100383
Os01g0778900	AK107825
Os01g0779100	ab
Os01g0779201	ab
Os01g0779300	AK121676
Os01g0779400	AK072094
Os01g0779400	AK072085
Os01g0779800	AK119965
Os01g0780400	AK108379
Os01g0780400	AK100949
Os01g0780500	AK068498
Os01g0780600	AK120823
Os01g0780701	BT060652
Os01g0780800	AK064375
Os01g0780800	AK108614
Os01g0780900	AK242437
Os01g0780900	AK288126
Os01g0781000	AK059870
Os01g0781000	AK099116
Os01g0781100	AK243093
Os01g0781200	AK068412
Os01g0781600	AK073325
Os01g0781700	ab
Os01g0781833	AK073325
Os01g0782100	ab
Os01g0782200	AK107062
Os01g0782200	AK289243
Os01g0782300	AK109175
Os01g0782400	X06284
Os01g0782500	AK103516
Os01g0782800	AK375593
Os01g0782850	BT087158
Os01g0783000	EU969122
Os01g0783100	AK067606
Os01g0783200	AK102590
Os01g0783200	AK119289
Os01g0783400	AK287803
Os01g0783500	AK072280
Os01g0783600	AK240768
Os01g0783700	AK109278
Os01g0783800	AK111632
Os01g0783851	FP096127
Os01g0784000	AK062753
Os01g0784101	tplb0048b10
Os01g0784200	tplb0037d20
Os01g0784450	AK333662
Os01g0784500	AK109693
Os01g0784600	AK067527
Os01g0784700	AY327041
Os01g0784725	tplb0048b10
Os01g0784750	CT829174
Os01g0784800	AK059820
Os01g0784833	BT017374
Os01g0784900	EU969801
Os01g0785300	AK065434
Os01g0785400	AK063368
Os01g0785500	EU946797
Os01g0785600	AK111308
Os01g0785700	AK102081
Os01g0785700	AK100774
Os01g0785900	AK071014
Os01g0785900	AK104311
Os01g0786000	AK062500
Os01g0786500	AK248720
Os01g0786601	AK241044
Os01g0786700	CT834914
Os01g0786800	AK061235
Os01g0786900	AK101857
Os01g0787000	AK101743
Os01g0787000	AK109348
Os01g0787101	tplb0038a01
Os01g0787300	AK241083
Os01g0787400	AK061223
Os01g0787600	AK061058
Os01g0787600	AK121948
Os01g0788001	BT016844
Os01g0788200	AK073030
Os01g0788400	AK109763
Os01g0788451	EU943103
Os01g0788500	AK120325
Os01g0788700	EU969353
Os01g0788800	AK121338
Os01g0788800	AK059864
Os01g0788800	AK071723
Os01g0788850	tplb0029h22
Os01g0788900	AK105428
Os01g0788900	AK073287
Os01g0788950	AK288815
Os01g0789000	AK333353
Os01g0789100	AK069910
Os01g0789200	AK070450
Os01g0791033	ab
Os01g0791151	X57273
Os01g0793100	AK372651
Os01g0793200	AK071275
Os01g0793200	AK059040
Os01g0793300	AK241303
Os01g0793500	AK101086
Os01g0793550	EU947254
Os01g0793600	ab
Os01g0793701	tplb0042d04
Os01g0793800	AK111091
Os01g0793900	AK062811
Os01g0794100	AK062404
Os01g0794400	AK122041
Os01g0794500	CU406737
Os01g0794600	AK289169
Os01g0794650	BT086324
Os01g0794800	AK063520
Os01g0794800	AK109067
Os01g0794900	AK106644
Os01g0795000	AK243517
Os01g0795050	AK241961
Os01g0795100	ab
Os01g0795200	AK066488
Os01g0795250	tplb0021i12
Os01g0795300	AK070252
Os01g0795300	AK101716
Os01g0795300	AK111262
Os01g0795400	AK100351
Os01g0795600	AK111059
Os01g0795700	AK067879
Os01g0795766	CT835006
Os01g0795832	CT837699
Os01g0795900	AK364403
Os01g0796000	AK242415
Os01g0796400	AK103329
Os01g0796400	AK060287
Os01g0796500	AK288097
Os01g0796700	AK120491
Os01g0797600	AK069262
Os01g0797700	AK110649
Os01g0797800	AK122155
Os01g0797900	AK070899
Os01g0797900	AK072949
Os01g0798100	AK061108
Os01g0798100	AK121340
Os01g0798200	AK109272
Os01g0798500	AK061244
Os01g0798500	AK068219
Os01g0798800	AK064257
Os01g0798900	ab
Os01g0799000	CT834916
Os01g0799050	tplb0055a01
Os01g0799100	AK241721
Os01g0799500	AK109346
Os01g0799500	AK111361
Os01g0799600	AK242702
Os01g0799900	AK072822
Os01g0800000	AK242998
Os01g0800101	AK242738
Os01g0800200	ab
Os01g0800250	BT088042
Os01g0800266	BT061800
Os01g0800300	AK100951
Os01g0800300	AK072549
Os01g0800300	AK100942
Os01g0800400	AK063447
Os01g0800500	AK066643
Os01g0800600	BT008955
Os01g0800701	BT016365
Os01g0800800	AK108093
Os01g0800900	AK241889
Os01g0800950	tplb0060l13
Os01g0801000	AK101426
Os01g0801100	AK102132
Os01g0801150	tplb0060l13
Os01g0801200	AK112093
Os01g0801200	AK111895
Os01g0801500	AK060529
Os01g0801600	AK073318
Os01g0801700	AK073813
Os01g0801800	AK073630
Os01g0801901	AK354846
Os01g0802000	AK103314
Os01g0802100	AK067589
Os01g0802200	AK062699
Os01g0802400	AK288170
Os01g0802600	AK366950
Os01g0802700	AK059229
Os01g0802850	CU406492
Os01g0802900	AK241162
Os01g0803200	AK061770
Os01g0803200	AK121632
Os01g0803300	AK071286
Os01g0803900	AK243166
Os01g0804150	FP093251
Os01g0804400	AK070931
Os01g0804900	AK102714
Os01g0805000	AK287688
Os01g0805100	AK064132
Os01g0805200	AK066239
Os01g0805200	AK104864
Os01g0805300	AK065795
Os01g0805300	AK061140
Os01g0805400	AK105954
Os01g0805500	CT835002
Os01g0805600	AK111939
Os01g0805700	AK069400
Os01g0805700	AK101937
Os01g0805750	EU951443
Os01g0805800	AK103408
Os01g0805800	AK059963
Os01g0805900	AK072502
Os01g0805975	AK288272
Os01g0806000	FP093123
Os01g0806101	CT835019
Os01g0806200	AK105235
Os01g0806300	AK111352
Os01g0806400	AK288057
Os01g0806600	AK288576
Os01g0806801	CT834814
Os01g0807000	AK109751
Os01g0807266	CT834968
Os01g0807532	CT834858
Os01g0807800	AK065492
Os01g0807900	AK072454
Os01g0807900	AK099861
Os01g0808100	AK069158
Os01g0808400	AK112112
Os01g0808900	ab
Os01g0808950	tplb0011f16
Os01g0809000	AK119363
Os01g0809300	AK070798
Os01g0809450	AK288409
Os01g0809900	AK120681
Os01g0810000	AK102143
Os01g0810000	AK120752
Os01g0810100	AK071916
Os01g0810100	AK104320
Os01g0810200	AK069286
Os01g0810300	AK070889
Os01g0810401	AK242294
Os01g0810500	ab
Os01g0810600	ab
Os01g0810700	AK109802
Os01g0810800	AK243390
Os01g0810833	AK063466
Os01g0810866	ab
Os01g0811001	ab
Os01g0811100	AK103541
Os01g0811100	AK061784
Os01g0811300	AK065227
Os01g0811400	AK288096
Os01g0812000	AK119607
Os01g0812000	AK102841
Os01g0812000	AK063951
Os01g0812025	tplb0038i04
Os01g0812050	AK370228
Os01g0812100	AK107118
Os01g0812200	AK072651
Os01g0812600	AK287754
Os01g0812800	AK062929
Os01g0812850	FP101076
Os01g0812900	AK121582
Os01g0813000	AK318562
Os01g0813100	EU307113
Os01g0813300	AY685121
Os01g0813350	EU949353
Os01g0813400	AK065370
Os01g0813500	AK073388
Os01g0813700	AK241229
Os01g0813800	AK067934
Os01g0813800	AK063065
Os01g0813900	AK101729
Os01g0814000	AK073886
Os01g0814100	AK061173
Os01g0814150	CT834420
Os01g0814200	AK073107
Os01g0814200	AK070675
Os01g0814300	AK103158
Os01g0814400	AK069730
Os01g0814400	AK104661
Os01g0814400	AK061117
Os01g0814550	BT086943
Os01g0814700	AK068533
Os01g0814800	AK065664
Os01g0814900	AK058594
Os01g0815100	EU970732
Os01g0815400	AK121388
Os01g0815700	AK073519
Os01g0815800	AK101927
Os01g0815800	AK058706
Os01g0815850	BT065526
Os01g0815900	AK241656
Os01g0816000	EU951349
Os01g0816100	AK073848
Os01g0816400	AK107599
Os01g0816400	AK121331
Os01g0816450	BT085435
Os01g0816500	AK242550
Os01g0816525	BT085435
Os01g0816550	AK242081
Os01g0816600	AK243409
Os01g0816700	AK100654
Os01g0816850	tplb0021n10
Os01g0817000	AK072492
Os01g0817100	AK065721
Os01g0817400	AK375782
Os01g0817633	AK241063
Os01g0817650	CT834971
Os01g0817700	AK065059
Os01g0817700	AK060836
Os01g0817800	AK073827
Os01g0817800	AK104032
Os01g0817900	tplb0051f06
Os01g0818000	AK069848
Os01g0818000	AK070194
Os01g0818100	CT830790
Os01g0818200	AK288738
Os01g0818200	AK103555
Os01g0818300	AK063274
Os01g0818400	AK102788
Os01g0818400	AK059910
Os01g0818400	AK068585
Os01g0818600	AK070254
Os01g0818600	AK066883
Os01g0818650	AK368632
Os01g0818700	AK066550
Os01g0818800	AK106940
Os01g0818900	AK063195
Os01g0819000	AK102393
Os01g0819000	AK073866
Os01g0819100	AK242625
Os01g0819200	ab
Os01g0819233	AK288527
Os01g0819266	CT835003
Os01g0819300	AK107799
Os01g0819400	FP101418
Os01g0819433	BT086907
Os01g0819466	BT086907
Os01g0819500	AK058360
Os01g0819700	AK059227
Os01g0819800	AK064921
Os01g0819900	AK067401
Os01g0819900	AK101811
Os01g0820000	AK250541
Os01g0820050	EU958027
Os01g0820400	EU956670
Os01g0820700	ab
Os01g0820750	AK288586
Os01g0820800	AK106944
Os01g0821300	AK289250
Os01g0821600	AK108657
Os01g0821700	AK060539
Os01g0821800	AK119168
Os01g0821800	AK073951
Os01g0821800	AK103171
Os01g0821900	AK105103
Os01g0822001	AK289188
Os01g0822200	AK103249
Os01g0822501	AK288168
Os01g0822800	AK065060
Os01g0822900	AK120044
Os01g0822900	AK058275
Os01g0823100	AK070463
Os01g0823150	BT016845
Os01g0823200	AK066097
Os01g0823300	CU861699
Os01g0823400	AK288005
Os01g0823500	AK064237
Os01g0823600	AK242079
Os01g0823700	AK067536
Os01g0823900	AK065307
Os01g0823951	CT834780
Os01g0824000	AK108946
Os01g0824500	BT061171
Os01g0824600	AK103032
Os01g0824600	AK119278
Os01g0824700	AK121084
Os01g0824800	AK066200
Os01g0824900	AK061414
Os01g0825000	AK121919
Os01g0825166	EU944053
Os01g0825332	EU944053
Os01g0825500	AK103941
Os01g0825500	AK060613
Os01g0825700	AK070492
Os01g0825800	AK102220
Os01g0825800	AK064301
Os01g0825900	AK101175
Os01g0826000	AJ308374
Os01g0826400	AK107199
Os01g0826800	AK111090
Os01g0826900	AK072789
Os01g0827200	AK120476
Os01g0827300	AK071929
Os01g0827400	AK108526
Os01g0827500	AK111814
Os01g0827600	AK122173
Os01g0827700	FP092137
Os01g0827800	FP098410
Os01g0828100	CT834815
Os01g0828200	BT038904
Os01g0828300	AK069906
Os01g0828400	tplb0026p23
Os01g0828900	AB512496
Os01g0829000	AK065327
Os01g0829100	AK060644
Os01g0829183	X06283
Os01g0829266	AK241659
Os01g0829400	AK109566
Os01g0829500	EU962098
Os01g0829600	AK060725
Os01g0829700	AK109789
Os01g0829800	AK101730
Os01g0829800	AK058753
Os01g0829900	AK070618
Os01g0830000	AK121100
Os01g0830100	AK069755
Os01g0830100	AK066279
Os01g0830200	AK099788
Os01g0830300	AK058951
Os01g0830500	AK105801
Os01g0830700	AK101671
Os01g0830700	AK105654
Os01g0830900	AK336099
Os01g0831000	AB115668
Os01g0831200	AK070208
Os01g0831250	BT054429
Os01g0831300	AK109023
Os01g0831800	tplb0050l02
Os01g0831900	AK102106
Os01g0831900	AK063959
Os01g0831950	BT054429
Os01g0832000	AK061265
Os01g0832100	AK064727
Os01g0832200	AK060017
Os01g0832200	AK068980
Os01g0832300	CT830619
Os01g0832450	BT084847
Os01g0832600	AK106774
Os01g0832900	AK068489
Os01g0833000	AK067226
Os01g0833100	AK068946
Os01g0833150	ab
Os01g0833200	AK121629
Os01g0833400	AK106052
Os01g0833400	AK072813
Os01g0833500	AK073320
Os01g0833600	AK330700
Os01g0833700	AK069745
Os01g0833750	tplb0060a06
Os01g0833800	AK072219
Os01g0833800	AK103458
Os01g0834100	AK071045
Os01g0834125	EU968530
Os01g0834150	AK330289
Os01g0834200	AK100543
Os01g0834200	AK099857
Os01g0834200	AK069188
Os01g0834200	AK059495
Os01g0834250	AK243346
Os01g0834400	AK108142
Os01g0834500	AK058829
Os01g0834600	D21303
Os01g0834700	AK106074
Os01g0834700	AK058413
Os01g0834800	EU969310
Os01g0834900	AK063898
Os01g0835000	AK241440
Os01g0835083	tplb0061a18
Os01g0835166	X06283
Os01g0835332	X06283
Os01g0835500	AK100241
Os01g0835500	AK068400
Os01g0835500	AK066013
Os01g0835600	AK064796
Os01g0835600	AK121745
Os01g0835600	AK064222
Os01g0835600	AK119267
Os01g0835651	CT834860
Os01g0835700	AK109941
Os01g0835800	AK288705
Os01g0835900	CU405994
Os01g0836400	AK068741
Os01g0836400	AK073540
Os01g0836600	AK067556
Os01g0836700	AK354161
Os01g0836800	AK066629
Os01g0836800	AK061720
Os01g0836900	AK064231
Os01g0837000	AK243678
Os01g0837100	BT018120
Os01g0837200	AK062368
Os01g0837300	AK062894
Os01g0837300	AK069181
Os01g0837300	AK104675
Os01g0837350	tplb0036f05
Os01g0837500	AK105439
Os01g0837500	AK064668
Os01g0837600	AK108007
Os01g0837700	ab
Os01g0837800	AK064840
Os01g0837800	AK061539
Os01g0837900	AK103207
Os01g0837900	AK106580
Os01g0838100	AK065393
Os01g0838200	EU968266
Os01g0838300	AK107798
Os01g0838350	AK240849
Os01g0838400	AK100806
Os01g0838600	CT834905
Os01g0838800	AK066366
Os01g0838800	AK073775
Os01g0838900	AK073490
Os01g0839100	AK108227
Os01g0839200	AK068926
Os01g0839300	AK064685
Os01g0839400	AK369760
Os01g0839500	CT837605
Os01g0839700	AK112030
Os01g0839700	AK104148
Os01g0839700	AK099038
Os01g0839801	BT019147
Os01g0839900	AK060655
Os01g0840100	AK243277
Os01g0840200	AK069954
Os01g0840300	AM234749
Os01g0840700	CT834844
Os01g0840900	AK063699
Os01g0841000	AK103342
Os01g0841000	AK059601
Os01g0841050	AK242632
Os01g0841100	AK121828
Os01g0841200	AK060210
Os01g0841400	AK108501
Os01g0841450	AK100318
Os01g0841500	AK066520
Os01g0841600	AK100708
Os01g0841650	BT016352
Os01g0841700	AK243099
Os01g0841800	AK111196
Os01g0842200	AK119896
Os01g0842200	AK102593
Os01g0842400	AK068901
Os01g0842400	AK059101
Os01g0842500	AK066513
Os01g0842600	AK100245
Os01g0842801	CT835509
Os01g0843300	ab
Os01g0843366	BT085299
Os01g0843432	BT018721
Os01g0843500	AK242775
Os01g0843700	AK241790
Os01g0843800	tplb0054i02
Os01g0844000	ab
Os01g0844200	AK109255
Os01g0844300	AK105246
Os01g0844400	AK070434
Os01g0844400	AK071686
Os01g0844500	EU944384
Os01g0844700	AK354388
Os01g0844800	AK099801
Os01g0844800	AK102882
Os01g0844800	AK103686
Os01g0844850	BT083530
Os01g0844900	AK066659
Os01g0845000	AK287550
Os01g0845100	AK106438
Os01g0845950	AK240858
Os01g0846000	AK066114
Os01g0846150	BT086014
Os01g0846300	AK065949
Os01g0846300	AK071996
Os01g0846400	AK119400
Os01g0846450	AK242908
Os01g0846500	AK073619
Os01g0846500	AK072322
Os01g0846525	EU942158
Os01g0846550	EU943442
Os01g0846600	AK070193
Os01g0846600	AK059069
Os01g0846700	tplb0026h15
Os01g0846800	AK063080
Os01g0846900	AK101755
Os01g0847000	tplb0053j23
Os01g0847100	AK121513
Os01g0847200	AK122126
Os01g0847200	AK061976
Os01g0847250	tplb0049h19
Os01g0847300	AK071164
Os01g0847300	AK104027
Os01g0847600	AK242899
Os01g0847700	AK103729
Os01g0847800	AK100718
Os01g0847900	AK059798
Os01g0847900	AK073643
Os01g0848200	AK101230
Os01g0848200	AK069425
Os01g0848250	AK064210
Os01g0848300	AK120668
Os01g0848400	AK060936
Os01g0848475	tplb0024p20
Os01g0848550	AK241086
Os01g0848700	AK071303
Os01g0848766	tplb0047b20
Os01g0848900	AK065438
Os01g0849000	AK105208
Os01g0849050	DQ185898
Os01g0849100	FP094914
Os01g0849500	AK111020
Os01g0849600	AK108159
Os01g0849950	tplb0058g01
Os01g0850000	AK105943
Os01g0850050	CT837487
Os01g0850100	AK071523
Os01g0850200	tplb0010d16
Os01g0850400	AK108582
Os01g0850550	AK367576
Os01g0850700	AK061816
Os01g0850700	AK109431
Os01g0850800	Q0JHP8
Os01g0850900	AK102887
Os01g0851000	AK287663
Os01g0851000	AK065338
Os01g0851100	AK100337
Os01g0851100	AK071217
Os01g0851300	AK101770
Os01g0851400	AK243063
Os01g0851600	AK101345
Os01g0851700	AK103367
Os01g0852000	AK064631
Os01g0852100	AK240986
Os01g0852200	AK102621
Os01g0852200	AK072698
Os01g0852200	AK063954
Os01g0852400	EU951209
Os01g0852500	AK069637
Os01g0852500	AK100453
Os01g0852650	BT062235
Os01g0852800	AK288119
Os01g0852900	AK105423
Os01g0852900	AK101805
Os01g0853000	AK099561
Os01g0853400	AK121543
Os01g0853600	AK108628
Os01g0853600	AK120975
Os01g0853600	AK107747
Os01g0853700	AK111988
Os01g0853800	AK069147
Os01g0853800	AK105929
Os01g0854000	AK070440
Os01g0854400	AK108330
Os01g0854500	AK102203
Os01g0854651	BT037955
Os01g0854800	AK109676
Os01g0855000	AK070880
Os01g0855000	AK073956
Os01g0855000	AK105944
Os01g0855200	AK066597
Os01g0855400	FJ940215
Os01g0855600	AK099776
Os01g0855700	AK106740
Os01g0855900	AK062976
Os01g0856000	AK107439
Os01g0856000	AK107451
Os01g0856500	AK100090
Os01g0856500	AK103239
Os01g0856500	AK068536
Os01g0856500	AK103981
Os01g0856550	tplb0034o11
Os01g0856600	AK064176
Os01g0856800	AK072489
Os01g0856800	AK063895
Os01g0856850	EU957350
Os01g0856900	AK107570
Os01g0857000	AK119434
Os01g0857000	AK072005
Os01g0857100	AK105161
Os01g0857200	AK287626
Os01g0857250	AK243264
Os01g0857300	AK102776
Os01g0857400	AK103684
Os01g0857500	AK068791
Os01g0857600	AK067838
Os01g0857650	tplb0041a03
Os01g0857700	AK243054
Os01g0857900	AK111811
Os01g0857925	CT834955
Os01g0857950	AK287971
Os01g0857975	CT834988
Os01g0858000	AK370475
Os01g0858200	AK108646
Os01g0858350	AK061128
Os01g0858500	AK108478
Os01g0858700	AK119765
Os01g0858900	AK107493
Os01g0859100	AK064334
Os01g0859200	AK061887
Os01g0859200	AK099121
Os01g0859200	AK072912
Os01g0859300	AK070998
Os01g0859400	AK071555
Os01g0859400	AK072832
Os01g0859400	AK101903
Os01g0859500	AK101338
Os01g0859600	AK072151
Os01g0860050	EU944121
Os01g0860300	AK242874
Os01g0860400	AK111415
Os01g0860450	AK119310
Os01g0860500	AK058878
Os01g0860601	AK069860
Os01g0860700	AK062402
Os01g0860800	AK103072
Os01g0860800	AK070331
Os01g0860900	AK069754
Os01g0861000	AK058707
Os01g0861400	FP096945
Os01g0861700	ab
Os01g0861900	AK105529
Os01g0862000	AK072680
Os01g0862200	AK100818
Os01g0862200	AK059299
Os01g0862300	AK120353
Os01g0862300	AK102304
Os01g0862400	AK108182
Os01g0862500	AK120019
Os01g0862600	AK108344
Os01g0862800	AK071274
Os01g0862850	FP093663
Os01g0863100	AK063301
Os01g0863166	AK241224
Os01g0863300	AK111571
Os01g0863400	AK068967
Os01g0863500	AK111023
Os01g0863800	FP100668
Os01g0864000	AK106759
Os01g0864100	AK064616
Os01g0864200	AK241381
Os01g0864300	AK063651
Os01g0864401	CT833668
Os01g0864500	AK068115
Os01g0864566	EU942030
Os01g0864700	CT834975
Os01g0865100	AK071410
