Os01g0100100	RabGAP/TBC_domain_containing_protein.
Os01g0812000	Similar_to_cDNA_clone:J033109N02,_full_insert_sequence.
Os01g0812050	Conserved_hypothetical_protein.
Os01g0812100	Similar_to_NHL25.
Os01g0812200	Cyclin_like F_box domain containing protein.
Os01g0812600	Tetratricopeptide_like helical domain containing protein.
Os01g0812800	Ribosomal_protein_L30e_domain_containing_protein.
Os01g0812850	Conserved_hypothetical_protein.
Os01g0812900	Similar_to_alphavirus_core_protein_family.
Os01g0813000	Similar_to_14_kDa_zinc_binding protein.
Os01g0813100	Similar_to_FD_like 2 protein (Fragment).
Os01g0813300	Similar_to_AP2/EREBP_transcription_factor.
Os01g0813350	Hypothetical_gene.
Os01g0813400	Similar_to_ADP_ribosylation factor 1.
Os01g0813500	EAP30_domain_containing_protein.
Os01g0813700	Similar_to_Non_cyanogenic beta_glucosidase.
Os01g0813800	Similar_to_Beta_glucosidase 3.
Os01g0813800	Similar_to_cDNA,_clone:_J065127F19,_full_insert_sequence.
Os01g0813900	Similar_to_ZIGA1_protein_(Fragment).
Os01g0814000	Nuclear_fragile_X_mental_retardation_interacting protein 1, conserved domain domain containing protein.
Os01g0814100	Similar_to_Bindin_(Fragment).
Os01g0814150	Conserved_hypothetical_protein.
Os01g0814200	Endonuclease/exonuclease/phosphatase_domain_containing_protein.
Os01g0814200	Hypothetical_conserved_gene.
Os01g0814300	Pentatricopeptide_repeat_domain_containing_protein.
Os01g0814400	Conserved_hypothetical_protein.
Os01g0814400	Similar_to_91A_protein_(Fragment).
Os01g0814700	Cyclin_like F_box domain containing protein.
Os01g0814800	Similar_to_Cysteine_synthase,_chloroplast_precursor_(EC_2.5.1.47)_(O_acetylserine sulfhydrylase) (O_acetylserine (Thiol)_lyase) (CSase B) (CS_B) (OAS_TL B).
Os01g0814900	Similar_to_Cytochrome_b5_reductase.
Os01g0815100	Hypothetical_conserved_gene.
Os01g0815400	Conserved_hypothetical_protein.
Os01g0815700	Zinc_finger,_RanBP2_type domain containing protein.
Os01g0815800	Similar_to_60S_ribosomal_protein_L24_A (L30A) (RP29) (YL21).
Os01g0815850	Hypothetical_conserved_gene.
Os01g0815900	Hypothetical_conserved_gene.
Os01g0816000	Protein_prenyltransferase_domain_containing_protein.
Os01g0816100	Similar_to_NAC_domain_protein.
Os01g0816400	Similar_to_microtubule_organization_protein.
Os01g0816400	Similar_to_Microtubule_bundling_polypeptide_TMBP200.
Os01g0816500	Similar_to_microtubule_organization_protein.
Os01g0816600	Similar_to_predicted_protein.
Os01g0816700	Similar_to_L_ascorbate oxidase homolog precursor (EC 1.10.3.3) (Ascorbase).
Os01g0816850	Hypothetical_protein.
Os01g0817000	Protein_of_unknown_function_DUF607_family_protein.
Os01g0817100	TRAM,_LAG1_and_CLN8_homology_domain_containing_protein.
Os01g0817400	Similar_to_proton_antiporter/_sodium:hydrogen_antiporter.
Os01g0817633	Hypothetical_gene.
Os01g0817650	Protein_of_unknown_function_DUF567_family_protein.
Os01g0817700	Similar_to_2,3_bisphosphoglycerate_independent phosphoglycerate mutase (EC 5.4.2.1) (Phosphoglyceromutase) (BPG_independent PGAM) (PGAM_I).
Os01g0817800	WD40_repeat_like domain containing protein.
Os01g0817800	Similar_to_predicted_protein.
Os01g0817900	Hypothetical_protein.
Os01g0818000	Auxin_efflux_carrier_domain_containing_protein.
Os01g0818100	Hypothetical_conserved_gene.
Os01g0818200	Pentatricopeptide_repeat_domain_containing_protein.
Os01g0818200	Hypothetical_gene.
Os01g0818300	K_Homology_domain_containing_protein.
Os01g0818400	Homeodomain_like containing protein.
Os01g0818600	Similar_to_Leucine_rich repeat transmembrane protein kinase.
Os01g0818600	Similar_to_cDNA_clone:J013021N20,_full_insert_sequence.
Os01g0818700	Leucine_rich repeat, N_terminal domain containing protein.
Os01g0818900	Conserved_hypothetical_protein.
Os01g0819000	Similar_to_transposon_protein_CACTA,_En/Spm_sub_class.
Os01g0819100	Similar_to_predicted_protein.
Os01g0819200	Similar_to_calcium_lipid_binding_protein_like.
Os01g0819233	Hypothetical_gene.
Os01g0819300	Similar_to_calcium_lipid_binding_protein_like.
Os01g0819400	Similar_to_Ubiquitin_carrier_protein.
Os01g0819500	Similar_to_Ubiquitin_conjugating enzyme E2_17 kDa 11 (EC 6.3.2.19) (Ubiquitin_ protein ligase 11) (Ubiquitin carrier protein 11).
Os01g0819700	Hypothetical_conserved_gene.
Os01g0819800	Pentatricopeptide_repeat_domain_containing_protein.
Os01g0819900	Armadillo_like helical domain containing protein.
Os01g0819900	Similar_to_HEAT_repeat_containing protein.
Os01g0820000	Similar_to_Cinnamate_4_hydroxylase.
Os01g0820050	Hypothetical_protein.
Os01g0820400	WRKY_transcription_factor_22,_Resistance_to_blast
Os01g0820700	DNA_binding WRKY domain containing protein.
Os01g0820800	Conserved_hypothetical_protein.
Os01g0821300	Hypothetical_conserved_gene.
Os01g0821600	WRKY_transcription_factor_48_like protein (WRKY transcription factor 21).
Os01g0821700	Similar_to_Chitin_binding lectin 1 precursor (PL_I).
Os01g0821800	Nucleic_acid_binding, OB_fold_like domain containing protein.
Os01g0821800	Similar_to_methionyl_tRNA synthetase.
Os01g0821800	Nucleic_acid_binding, OB_fold_like domain containing protein.
Os01g0821900	Protein_kinase,_core_domain_containing_protein.
Os01g0822001	Hypothetical_gene.
Os01g0822200	Protein_kinase,_core_domain_containing_protein.
Os01g0822501	Conserved_hypothetical_protein.
Os01g0822800	Similar_to_RING_H2 finger protein ATL3C.
Os01g0822900	Similar_to_Lipid_transfer_protein.
Os01g0823100	Alpha_expansin OsEXPA2.
Os01g0823150	Hypothetical_gene.
Os01g0823200	Similar_to_Integral_membrane_protein_like.
Os01g0823300	Similar_to_Ribosomal_protein_S26.
Os01g0823400	Hypothetical_conserved_gene.
Os01g0823500	Protein_of_unknown_function_DUF623,_plant_domain_containing_protein.
Os01g0823600	Conserved_hypothetical_protein.
Os01g0823700	Protein_of_unknown_function_DUF641,_plant_domain_containing_protein.
Os01g0823900	U_box E3ubiquitin ligase, Positive regulation of cold stress response
Os01g0823951	Conserved_hypothetical_protein.
Os01g0824000	Conserved_hypothetical_protein.
Os01g0824500	Hypothetical_conserved_gene.
Os01g0824600	Serine/threonine_protein_kinase_domain_containing_protein.
Os01g0824600	Similar_to_CBL_interacting protein kinase 2.
Os01g0824700	Cyclin_like F_box domain containing protein.
Os01g0824800	Conserved_hypothetical_protein.
Os01g0824900	Protein_of_unknown_function_DUF688_domain_containing_protein.
Os01g0825000	Similar_to_LOB_domain_protein_12.
Os01g0825166	Similar_to_Splicing_coactivator_subunit_like protein.
Os01g0825332	Similar_to_Splicing_coactivator_subunit_like protein.
Os01g0825500	Nodulin_like domain containing protein.
Os01g0825500	Similar_to_nodulin_like protein.
Os01g0825700	Similar_to_VHS2_protein_(Fragment).
Os01g0825800	Amino_acid_transporter,_transmembrane_domain_containing_protein.
Os01g0825800	Similar_to_Amino_acid_polyamine transporter.
Os01g0825900	Protein_of_unknown_function_Cys_rich family protein.
Os01g0826000	Heavy_metal_transport/detoxification_protein_domain_containing_protein.
Os01g0826400	WRKY_transcription_factor_24_(WRKY24).
Os01g0826800	Conserved_hypothetical_protein.
Os01g0826900	Domain_of_unknown_function_DUF399_domain_containing_protein.
Os01g0827200	Phox_like domain containing protein.
Os01g0827300	Putative_laccase_precursor,_Abiotic_stress_response
Os01g0827400	Prenylated_rab_acceptor_PRA1_family_protein.
Os01g0827500	Exo70_exocyst_complex_subunit_family_protein.
Os01g0827600	Exo70_exocyst_complex_subunit_family_protein.
Os01g0827700	Lipase,_GDSL_domain_containing_protein.
Os01g0827800	Similar_to_AT_rich element binding factor 3.
Os01g0828100	Similar_to_Cinnamoyl_CoA reductase.
Os01g0828200	Hypothetical_conserved_gene.
Os01g0828300	Protein_of_unknown_function_DUF248,_methyltransferase_putative_family_protein.
Os01g0828400	Hypothetical_protein.
Os01g0828900	Similar_to_predicted_protein.
Os01g0829000	Thioredoxin_like fold domain containing protein.
Os01g0829100	Ankyrin_domain_containing_protein.
Os01g0829266	Hypothetical_conserved_gene.
Os01g0829400	Thioredoxin_fold_domain_containing_protein.
Os01g0829500	Conserved_hypothetical_protein.
Os01g0829600	Protein_of_unknown_function_DUF688_domain_containing_protein.
Os01g0829700	Hypothetical_protein.
Os01g0829800	Similar_to_Malate_dehydrogenase_precursor_(EC_1.1.1.37).
Os01g0829900	Iron(III)_deoxymugineic acid transporter, Translocation of iron in reproductive organs and phloem in joints
Os01g0830000	Similar_to_Plastid_sufB_(Fragment).
Os01g0830100	Pyridine_nucleotide_disulphide oxidoreductase, NAD_binding region domain containing protein.
Os01g0830100	Similar_to_ATNDI1/NDA1_(ALTERNATIVE_NAD(P)H_DEHYDROGENASE_1);_NADH_dehydrogenase.
Os01g0830200	Zinc_finger,_RING/FYVE/PHD_type domain containing protein.
Os01g0830500	2OG_Fe(II) oxygenase domain containing protein.
Os01g0830700	Protein_of_unknown_function_DUF231,_plant_domain_containing_protein.
Os01g0830900	Hypothetical_conserved_gene.
Os01g0831000	Basic_helix_loop_helix (bHLH) transcription factor, Axillary meristem formation
Os01g0831200	Ubiquitin_domain_containing_protein.
Os01g0831250	Hypothetical_gene.
Os01g0831300	Similar_to_Ammonium_transporter.
Os01g0831800	Conserved_hypothetical_protein.
Os01g0831900	Similar_to_Ammonium_transporter.
Os01g0831950	Hypothetical_protein.
Os01g0832000	Phosphatidate_cytidylyltransferase_family_protein.
Os01g0832100	Esterase,_SGNH_hydrolase_type domain containing protein.
Os01g0832200	Similar_to_selT_like protein.
Os01g0832300	Similar_to_Calcium_dependent protein kinase.
Os01g0832450	Hypothetical_protein.
Os01g0832600	Similar_to_Leucoanthocyanidin_dioxygenase_like protein.
Os01g0832900	Similar_to_ATP_binding_protein.
Os01g0833000	Pentatricopeptide_repeat_domain_containing_protein.
Os01g0833100	NLI_interacting_factor_domain_containing_protein.
Os01g0833150	Similar_to_predicted_protein.
Os01g0833200	Similar_to_expressed_protein.
Os01g0833400	Conserved_hypothetical_protein.
Os01g0833500	Similar_to_Serine_carboxypeptidase_II_1 precursor (EC 3.4.16.6) (CP_MII.1) (Fragment).
Os01g0833600	Conserved_hypothetical_protein.
Os01g0833700	Clathrin_adaptor,_mu_subunit,_C_terminal domain containing protein.
Os01g0833750	Hypothetical_protein.
Os01g0833800	IQ_calmodulin_binding region domain containing protein.
Os01g0833800	Similar_to_cDNA_clone:J013168C19,_full_insert_sequence.
Os01g0834100	Aldehyde_dehydrogenase,_conserved_site_domain_containing_protein.
Os01g0834125	Hypothetical_protein.
Os01g0834150	Hypothetical_gene.
Os01g0834200	Similar_to_T_cell immune regulator 1 transcript variant 3 (Fragment).
Os01g0834200	Similar_to_VHA_A1 (VACUOLAR PROTON ATPASE A 1); ATPase.
Os01g0834200	Similar_to_T_cell immune regulator 1 transcript variant 3 (Fragment).
Os01g0834200	Similar_to_VHA_A1 (VACUOLAR PROTON ATPASE A 1); ATPase.
Os01g0834250	Hypothetical_gene.
Os01g0834400	Similar_to_HAP3.
Os01g0834400	CCAAT_box binding transcription factor, Chloroplast biogenesis
Os01g0834500	Similar_to_40S_ribosomal_protein_S23_(S12).
Os01g0834600	40S_ribosomal_protein_S23.
Os01g0834700	Zinc_finger,_CCCH_type domain containing protein.
Os01g0834700	Similar_to_nucleic_acid_binding_protein.
Os01g0834800	Conserved_hypothetical_protein.
Os01g0834900	Hypothetical_conserved_gene.
Os01g0835000	Similar_to_predicted_protein.
Os01g0835083	Hypothetical_protein.
Os01g0835500	Similar_to_Respiratory_burst_oxidase_protein.
Os01g0835500	Similar_to_respiratory_burst_oxidase_protein_A.
Os01g0835500	Similar_to_Respiratory_burst_oxidase_like protein J.
Os01g0835600	AT_hook,_DNA_binding, conserved site domain containing protein.
Os01g0835700	CCT_domain_containing_protein.
Os01g0835800	Hypothetical_conserved_gene.
Os01g0835900	Similar_to_Histone_H4.
Os01g0836400	Hypothetical_conserved_gene.
Os01g0836400	SAC3/GANP_family_protein.
Os01g0836600	ABC_transporter_like domain containing protein.
Os01g0836700	Hypothetical_conserved_gene.
Os01g0836800	Transmembrane_receptor,_eukaryota_domain_containing_protein.
Os01g0836900	Conserved_hypothetical_protein.
Os01g0837000	Ankyrin_repeat_containing_protein.
Os01g0837100	Similar_to_predicted_protein.
Os01g0837200	Similar_to_esterase/lipase/thioesterase_family_protein.
Os01g0837300	Similar_to_UDP_glucuronic acid decarboxylase 1.
Os01g0837350	Hypothetical_protein.
Os01g0837500	Similar_to_Ruvbl1_protein.
Os01g0837500	Similar_to_DNA_helicase,_TBP_interacting protein.
Os01g0837600	Similar_to_plant_specific domain TIGR01589 family protein.
Os01g0837700	Hypothetical_genes.
Os01g0837800	Metal_tolerance_protein,_Manganese_transporter,_Mn_cation diffusion facilitator (CDF ), Mn and other heavy metal tolerance and homeostasis
Os01g0837800	Similar_to_metal_tolerance_protein.
Os01g0837900	Similar_to_Protein_kinase_AFC1_(EC_2.7.1._).
Os01g0838100	Conserved_hypothetical_protein.
Os01g0838200	Conserved_hypothetical_protein.
Os01g0838300	Hypothetical_protein.
Os01g0838350	Conserved_hypothetical_protein.
Os01g0838400	Conserved_hypothetical_protein.
Os01g0838600	Zinc_finger,_C2H2_like domain containing protein.
Os01g0838800	Similar_to_cDNA_clone:J033065F01,_full_insert_sequence_(Fragment).
Os01g0838800	Clathrin_adaptor,_sigma_subunit/coatomer,_zeta_subunit_domain_containing_protein.
Os01g0838900	Trp_repressor/replication_initiator_domain_containing_protein.
Os01g0839100	Zinc_finger,_C2H2_domain_containing_protein.
Os01g0839200	DUF966_family_protein,_Abiotic_stress_response
Os01g0839300	Similar_to_50S_ribosomal_protein_L17.
Os01g0839400	Pentatricopeptide_repeat_domain_containing_protein.
Os01g0839500	Histone_fold domain containing protein.
Os01g0839700	Similar_to_Ubiquitin_carrier_protein.
Os01g0839801	Hypothetical_gene.
Os01g0839900	Thaumatin,_pathogenesis_related family protein.
Os01g0840100	Heat_shock_protein_Hsp70_family_protein.
Os01g0840200	HSP20_like chaperone domain containing protein.
Os01g0840300	Similar_to_WUSCHEL_related homeobox 5.
Os01g0840700	Similar_to_60S_ribosomal_protein_L36.
Os01g0840900	Conserved_hypothetical_protein.
Os01g0841000	ENTH/VHS_domain_containing_protein.
Os01g0841050	Conserved_hypothetical_protein.
Os01g0841100	FAS1_domain_domain_containing_protein.
Os01g0841200	Protein_of_unknown_function_DUF246,_plant_family_protein.
Os01g0841400	Conserved_hypothetical_protein.
Os01g0841450	Hypothetical_conserved_gene.
Os01g0841500	R1R2R3_MYB_transcription_factor,_Stress_tolerance
Os01g0841600	Triose_phosphate_isomerase_(EC_5.3.1.1),_Abiotic_stress_response,_Response_to_methylglyoxal_(cytotoxin)
Os01g0841650	Hypothetical_protein.
Os01g0841700	Similar_to_Isoform_ERG1b_of_Elicitor_responsive protein 1.
Os01g0841800	Ribonuclease_II_and_R_domain_containing_protein.
Os01g0842200	Similar_to_Scarecrow_like 9 (Fragment).
Os01g0842200	Similar_to_SCARECROW_like protein.
Os01g0842400	Similar_to_Laccase_(EC_1.10.3.2).
Os01g0842400	Similar_to_cDNA_clone:J013170B10,_full_insert_sequence.
Os01g0842500	Similar_to_Laccase_(EC_1.10.3.2).
Os01g0842600	Similar_to_AAA_metalloprotease FtsH.
Os01g0842801	Similar_to_WRKY_transcription_factor_56.
Os01g0843300	Similar_to_Mitochondrial_Rho_GTPase.
Os01g0843432	Conserved_hypothetical_protein.
Os01g0843500	Hypothetical_conserved_gene.
Os01g0843700	Conserved_hypothetical_protein.
Os01g0843800	Similar_to_L_ascorbate oxidase.
Os01g0844000	Conserved_hypothetical_protein.
Os01g0844200	DVL_family_protein.
Os01g0844300	Similar_to_Peptidylprolyl_isomerase.
Os01g0844400	Similar_to_palmitoyltransferase_PFA4.
Os01g0844400	Zinc_finger,_DHHC_type domain containing protein.
Os01g0844500	Peptidase_aspartic,_catalytic_domain_containing_protein.
Os01g0844700	Similar_to_protein_binding_protein.
Os01g0844800	Similar_to_Pumilio_RBD_(Fragment).
Os01g0844800	Hypothetical_conserved_gene.
Os01g0844800	Similar_to_predicted_protein.
Os01g0844900	Homeodomain_like containing protein.
Os01g0845000	Hypothetical_conserved_gene.
Os01g0845100	Protein_of_unknown_function_DUF668_family_protein.
Os01g0845950	Conserved_hypothetical_protein.
Os01g0846000	Nucleic_acid_binding, OB_fold domain containing protein.
Os01g0846150	Hypothetical_gene.
Os01g0846300	Similar_to_Protein_phosphatase_2C.
Os01g0846300	Similar_to_protein_phosphatase_2C.
Os01g0846400	Conserved_hypothetical_protein.
Os01g0846450	Hypothetical_conserved_gene.
Os01g0846500	Hypothetical_conserved_gene.
Os01g0846500	PAP/25A_core_domain_containing_protein.
Os01g0846600	Protein_of_unknown_function_DUF248,_methyltransferase_putative_family_protein.
Os01g0846600	Similar_to_ankyrin_like protein.
Os01g0846700	Hypothetical_protein.
Os01g0846800	Regulator_of_chromosome_condensation,_RCC1_domain_containing_protein.
Os01g0846900	Histone_fold domain containing protein.
Os01g0847000	Hypothetical_protein.
Os01g0847100	Conserved_hypothetical_protein.
Os01g0847200	Similar_to_Mannose_1_phosphate guanyltransferase (EC 2.7.7.13) (ATP_mannose_1_ phosphate guanylyltransferase) (GDP_mannose pyrophosphorylase) (NDP_ hexose pyrophosphorylase).
Os01g0847300	Uncharacterised_protein_family_UPF0497,_trans_membrane plant domain containing protein.
Os01g0847600	Aldo_keto reductase, Detoxification of abiotic stress_related reactive aldehydes, Oxidative and heat stress tolerance, Herbicide resistance
Os01g0847700	Aldo_keto reductase, Detoxification of reactive aldehydes, Abiotic stress tolerance
Os01g0847800	Similar_to_Aldose_reductase_(EC_1.1.1.21)_(AR)_(Aldehyde_reductase)_(20_alpha_ hydroxysteroid dehydrogenase) (EC 1.1.1.149) (20_alpha_HSD).
Os01g0847800	Aldo_keto reductase
Os01g0847900	Prenylated_rab_acceptor_PRA1_family_protein.
Os01g0848200	Similar_to_Delta_1_pyrroline_5_carboxylate synthetase (P5CS) [Includes: Glutamate 5_kinase (EC 2.7.2.11) (Gamma_glutamyl kinase) (GK); Gamma_glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate_5_semialdehyde dehydrogenase) (Glutamyl_gamma_semialdehyde dehydrogenase)].
Os01g0848300	Pentatricopeptide_repeat_domain_containing_protein.
Os01g0848400	BEL1_type homeobox family, Seed shattering
Os01g0848475	Hypothetical_protein.
Os01g0848550	Conserved_hypothetical_protein.
Os01g0848700	Similar_to_Ras_related protein Rab11C.
Os01g0848766	Hypothetical_gene.
Os01g0848900	Conserved_hypothetical_protein.
Os01g0849000	Hypothetical_protein.
Os01g0849100	Small_GTPase_Rac/ROP_guanine_nucleotide_exchange_factor,_Signal_transduction
Os01g0849500	Protein_of_unknown_function_DUF3339_domain_containing_protein.
Os01g0849600	Similar_to_ENOD18_protein_(Fragment).
Os01g0849950	Hypothetical_protein.
Os01g0850000	Uncharacterised_conserved_protein_UCP022260_domain_containing_protein.
Os01g0850050	Hypothetical_gene.
Os01g0850100	Similar_to_Phosphatidic_acid_phosphatase_like protein.
Os01g0850200	Zinc_finger,_RING/FYVE/PHD_type domain containing protein.
Os01g0850400	Similar_to_MYBY1_protein_(Fragment).
Os01g0850550	Similar_to_Laccase_6.
Os01g0850700	Similar_to_Laccase_7.
Os01g0850700	Cupredoxin_domain_containing_protein.
Os01g0850800	Laccase_8.
Os01g0850900	SOUL_haem_binding protein domain containing protein.
Os01g0851000	Carbohydrate/purine_kinase_domain_containing_protein.
Os01g0851100	GDP_fucose protein O_fucosyltransferase domain containing protein.
Os01g0851100	Similar_to_predicted_protein.
Os01g0851300	Reticulon_family_protein.
Os01g0851400	Machado_Joseph disease protein MJD family protein.
Os01g0851600	3_oxo_5_alpha_steroid 4_dehydrogenase, C_terminal domain containing protein.
Os01g0851700	Similar_to_Cytosolic_starch_phosphorylase_(Fragment).
Os01g0852000	Hypothetical_protein.
Os01g0852100	Conserved_hypothetical_protein.
Os01g0852200	Similar_to_sialin.
Os01g0852200	Major_facilitator_superfamily_protein.
Os01g0852400	Protein_of_unknown_function_DUF740_family_protein.
Os01g0852500	ELM2_domain_containing_protein.
Os01g0852650	FAR1_DNA_binding_domain_domain_containing_protein.
Os01g0852800	Conserved_hypothetical_protein.
Os01g0852900	Pentatricopeptide_repeat_domain_containing_protein.
Os01g0852900	Hypothetical_conserved_gene.
Os01g0853000	Conserved_hypothetical_protein.
Os01g0853400	Component_of_the_SCF_E3_ubiquitin_ligase_complex,_Jasmonate_regulated defense responses, Promoting leaf senescence
Os01g0853600	Similar_to_cDNA_clone:J023041K02,_full_insert_sequence.
Os01g0853600	Similar_to_cDNA_clone:002_147_E10, full insert sequence.
Os01g0853600	Similar_to_cDNA_clone:J023041K02,_full_insert_sequence.
Os01g0853700	Similar_to_MCB1_protein.
Os01g0853800	C2_calcium_dependent membrane targeting domain containing protein.
Os01g0854000	Similar_to_AER.
Os01g0854400	Conserved_hypothetical_protein.
Os01g0854500	Homeobox_domain_containing_protein.
Os01g0854651	Similar_to_Adenylate_cyclase.
Os01g0854800	Similar_to_Cytochrome_P450_86A1_(EC_1.14._._) (CYPLXXXVI) (P450_dependent fatty acid omega_hydroxylase).
Os01g0855000	Similar_to_Glycerol_3_phosphate acyltransferase 6 (EC 2.3.1.15) (AtGPAT6).
Os01g0855000	Hypothetical_gene.
Os01g0855000	Similar_to_Glycerol_3_phosphate acyltransferase 6 (EC 2.3.1.15) (AtGPAT6).
Os01g0855200	Tetratricopeptide_like helical domain containing protein.
Os01g0855400	SANT_domain,_DNA_binding_domain_containing_protein.
Os01g0855600	Similar_to_Hs1pro_1 protein.
Os01g0855700	Hypothetical_protein.
Os01g0855900	Hypothetical_gene.
Os01g0856000	Similar_to_CDC6_protein.
Os01g0856000	Similar_to_predicted_protein.
Os01g0856500	Auxin_transporter,_Primary_root_and_root_hair_elongation,_Cd_stress_response
Os01g0856500	Amino_acid_transporter,_transmembrane_domain_containing_protein.
Os01g0856500	Splicing_variant_with_unknown_function
Os01g0856500	Similar_to_auxin_transporter_like protein 1.
Os01g0856600	Nsp1_like, C_terminal family protein.
Os01g0856800	Similar_to_pleckstrin_homology_domain_containing protein 1.
Os01g0856800	Pleckstrin_homology_type domain containing protein.
Os01g0856850	Similar_to_ribosomal_protein_S7.
Os01g0856900	Glycoside_hydrolase,_carbohydrate_binding domain containing protein.
Os01g0857000	Double_stranded RNA_binding_like domain containing protein.
Os01g0857000	Similar_to_CPL2_(CTD_phosphatase_like 2); double_stranded RNA binding.
Os01g0857200	Di_trans_poly_cis_decaprenylcistransferase family protein.
Os01g0857250	Conserved_hypothetical_protein.
Os01g0857300	Three_deoxy_D_manno_octulosonic_acid transferase, N_terminal domain containing protein.
Os01g0857400	Amino_acid_transporter,_transmembrane_domain_containing_protein.
Os01g0857500	Xanthine/uracil/vitamin_C_permease_family_protein.
Os01g0857600	Similar_to_H0811D08.6_protein.
Os01g0857650	Hypothetical_protein.
Os01g0857700	Similar_to_G10.
Os01g0857900	Conserved_hypothetical_protein.
Os01g0857925	Conserved_hypothetical_protein.
Os01g0857950	Hypothetical_gene.
Os01g0858000	WD40_repeat_domain_containing_protein.
Os01g0858200	Similar_to_ESP3_(ENHANCED_SILENCING_PHENOTYPE_3);_ATP_binding_/_ATP_dependent RNA helicase/ ATP_dependent helicase/ helicase/ nucleic acid binding.
Os01g0858350	Similar_to_cytochrome_P450.
Os01g0858500	Similar_to_Transcription_initiation_factor_TFIID_subunit_12_(Transcription_initiation_factor_TFIID_20/15_kDa_subunits)_(TAFII_20/TAFII_15) (TAFII20/TAFII15).
Os01g0858700	Conserved_hypothetical_protein.
Os01g0858900	Glycosyl_transferase,_family_29_protein.
Os01g0859100	Similar_to_WIP1_protein_(Fragment).
Os01g0859200	Alpha/beta_hydrolase_fold_1 domain containing protein.
Os01g0859200	Conserved_hypothetical_protein.
Os01g0859200	Alpha/beta_hydrolase_fold_1 domain containing protein.
Os01g0859300	Similar_to_ABA_response_element_binding_factor_(Fragment).
Os01g0859400	Protein_tyrosine phosphatase, dual specificity domain containing protein.
Os01g0859500	Similar_to_Basic_leucine_zipper_protein_(Liguleless2).
Os01g0859600	Cyclin_like F_box domain containing protein.
Os01g0860300	Similar_to_Ribosomal_protein_L1.
Os01g0860400	Similar_to_Acidic_endochitinase_precursor_(EC_3.2.1.14).
Os01g0860450	Hypothetical_protein.
Os01g0860500	Similar_to_Hevamine_A_precursor_[Includes:_Chitinase_(EC_3.2.1.14);_Lysozyme_(EC_3.2.1.17)].
Os01g0860601	Similar_to_Ferredoxin,_root_R_B1.
Os01g0860700	Conserved_hypothetical_protein.
Os01g0860800	Glycoside_hydrolase,_family_17_protein.
Os01g0860900	Conserved_hypothetical_protein.
Os01g0861000	Conserved_hypothetical_protein.
Os01g0861400	Similar_to_Long_cell_linked locus protein.
Os01g0861700	Hypothetical_conserved_gene.
Os01g0861900	Similar_to_transposon_protein_Mutator_sub_class.
Os01g0862000	Alpha/beta_hydrolase_fold_1 domain containing protein.
Os01g0862200	Conserved_hypothetical_protein.
Os01g0862300	Similar_to_Sorting_nexin_1.
Os01g0862400	Hypothetical_protein.
Os01g0862500	Conserved_hypothetical_protein.
Os01g0862600	Protein_of_unknown_function_DUF584_family_protein.
Os01g0862800	NAC_(NAM_ATAF1/2_CUC2)_transcription_factor,_Early_and_transient_regulator_of_abiotic_stress_responses
Os01g0862850	Hypothetical_protein.
Os01g0863100	Similar_to_H0423H10.6_protein.
Os01g0863166	Conserved_hypothetical_protein.
Os01g0863300	Similar_to_MCB2_protein.
Os01g0863400	Hypothetical_protein.
Os01g0863500	Control_of_leaf_rolling_and_bending
Os01g0863800	Protein_of_unknown_function_DUF623,_plant_domain_containing_protein.
Os01g0864000	Plant_specific transcription factor, A member of OVATE family protein, Positive mediation of brassinosteroid signaling, Plant growth and development
Os01g0864100	Hypothetical_protein.
Os01g0864200	Conserved_hypothetical_protein.
Os01g0864300	Harpin_induced 1 domain containing protein.
Os01g0864401	Hypothetical_conserved_gene.
Os01g0864500	Harpin_induced 1 domain containing protein.
Os01g0864566	Hypothetical_conserved_gene.
Os01g0864700	Similar_to_Serine/threonine_protein kinase Nek5.
Os01g0865100	Similar_to_Uricase_(Fragment).
Os01g0865100	Similar_to_Uricase.
Os01g0865400	UDP_glucuronosyl/UDP_glucosyltransferase family protein.
Os01g0865600	Basic_helix_loop_helix dimerisation region bHLH domain containing protein.
Os01g0865700	Zinc_finger,_RING/FYVE/PHD_type domain containing protein.
Os01g0865800	Similar_to_AOBP_(Ascorbate_oxidase_promoter_binding protein).
Os01g0865900	Hypothetical_protein.
Os01g0866000	Similar_to_E3_ubiquitin_ligase_EL5_(EC_6.3.2._).
Os01g0866100	Similar_to_Actin_4.
Os01g0866133	Hypothetical_gene.
Os01g0866200	Similar_to_Histone_H3.
Os01g0866300	VAMP_like protein YKT61 (AtYKT61) (Geranylgeranylated protein 1) (AtGP1).
Os01g0866400	Similar_to_Fructose_1,6_bisphosphatase (EC 3.1.3.11) (Fragment).
Os01g0866500	Similar_to_Soluble_inorganic_pyrophosphatase_(EC_3.6.1.1)_(Pyrophosphate_phospho_ hydrolase) (PPase).
Os01g0866600	Similar_to_bolA_like protein.
Os01g0866700	Similar_to_Sm_like protein.
Os01g0866750	Hypothetical_conserved_gene.
Os01g0866800	Similar_to_F24P17.15_protein_(Tubby_like protein TULP9).
Os01g0867100	Conserved_hypothetical_protein.
Os01g0867200	WD40_repeat_like domain containing protein.
Os01g0867300	bZIP_transcription_factor,_Abiotic_stress_response,_ABA_signaling,_Suppressor_of_floral_transition_upon_drought_stress
